factor_de_expansion;id_hog;zona;region_de_planificacion;tipo_de_vivienda;tipo_de_tenencia_de_la_vivienda;mensualidad_pagada_por_la_vivienda;material_de_las_paredes_exteriores_de_la_vivienda;material_del_techo_de_la_vivienda;material_del_piso_de_la_vivienda;la_vivienda_tiene_cielo_raso;condicion_de_hacinamiento_segun_aposentos;total_de_aposentos_de_la_vivienda;tipo_de_conexion_al_servicio_de_internet;tenenciaCompuP;tenenciaCompuE;tenenciaCompu;tenenciaTab;tenenciaCel;tenenciaDisMov;tenenciaTIC;cantidad_de_telefonos_celulares;cantidad_de_tabletas;cantidad_de_computadoras_portatiles;cantidad_de_computadoras_de_escritorio;nivel_de_pobreza;ingreso_total_del_hogar_neto;ingreso_per_capita_del_hogar_neto;quintil_de_ingreso_per_capita_del_hogar_neto;quintil_de_ingreso_per_capita_del_hogar_por_zona;quintil_de_ingreso_per_capita_del_hogar_neto_por_region_de_planificacion;jefe_sexo;jefe_edad;jefe_estado_conyugal;jefe_nivel_de_instruccion;jefe_tipo_de_centro_educativo_al_que_asiste_o_asistio;jefe_dominio_de_un_segundo_idioma;jefe_condicion_de_actividad;jefe_ocupacion_en_el_empleo_principal_cocr_2011;jefe_condicion_de_aseguramiento;jefe_recibio_ingreso_pension_alimenticia;jefe_asistencia_a_educacion_formal;jefe_estudiante;cantidad_personas;cantidad_hombres;cantidad_mujeres;estudiantes_preescolar;estudiantes_escuela;estudiantes_colegio;estudiantes_parauniversitaria;estudiantes_universitaria;estudiantes_enseñanza_especial;estudiantes_otro_formal;estudiantes_no_formal;estudiantes;estudiantes_con_beca;total_en_becas;estudiantes_centro_publico;estudiantes_centro_privado;personas_segundo_idioma;cantidad_ocupados;cantidad_desempleados;cantidad_fuera_de_ft;menores_de_15;mayores_de_64;pensionados
126;895_5_1;Rural;Brunca;Casa Independiente;Otra tenencia (cedida, prestada);NA;Prefabricado;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;4;Por dispositivos móviles (SIM);No;No;No;No;Sí;Sí;Sí;1;0;0;0;Pobreza extrema;40000;20000;Q1: 87944 ó menos;1;1;Mujer;23;Soltero(a);Secundaria académica completa;Público;No;Fuera de la fuerza de trabajo;NA;No asegurado;No;No asiste;No;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
123;895_6_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Prefabricado;Lámina de metal o zinc;Cemento (lujado o no);No;Vivienda no hacinada;4;Por dispositivos móviles (SIM);No;No;No;No;Sí;Sí;Sí;1;0;0;0;No pobre;354,166,666,666,667;118,055,555,555,556;Q2: Más de 87944 a 144395;3;2;Mujer;27;Separado(a);Secundaria académica incompleta;Público;No;Ocupado;Ocupaciones elementales;Voluntario;Sí;Colegio;Sí;3;1;2;1;1;1;0;0;0;0;0;3;0;0;3;0;0;1;0;0;2;0;0
128;895_7_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Prefabricado;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por dispositivos móviles (SIM);No;No;No;No;Sí;Sí;Sí;4;0;0;0;Pobreza no extrema;165000;55000;Q1: 87944 ó menos;1;1;Mujer;46;Divorciado(a);Sin nivel de instrucción;Nunca ha asistido;No;Desempleado abierto;NA;Por el Estado;No;No asiste;No;3;1;2;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;2;0;0;0
124;895_8_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por teléfono fijo;Sí;No;Sí;No;Sí;Sí;Sí;4;0;1;0;Pobreza no extrema;2.00E+05;666,666,666,666,667;Q1: 87944 ó menos;1;1;Mujer;38;Soltero(a);Primaria completa;Público;No;Desempleado abierto;NA;Por el Estado;No;Colegio;Sí;3;1;2;0;0;3;0;0;0;0;0;3;0;0;3;0;0;0;1;2;0;0;0
123;895_9_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Prefabricado;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;4;NA;No;No;No;No;Sí;Sí;Sí;1;0;0;0;No pobre;546200;273100;Q4: Más de 240898 a 459848;4;4;Hombre;59;Casado(a);Primaria incompleta;Público;No;Ocupado;Ocupaciones elementales;Mediante convenio (asociaciones, sindicatos, cooperativas, etc.);No;No asiste;No;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
128;895_10_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;No;Vivienda no hacinada;3;Por teléfono fijo;Sí;No;Sí;No;Sí;Sí;Sí;4;0;1;0;Pobreza no extrema;426820;85364;Q1: 87944 ó menos;2;2;Hombre;39;Casado(a);Primaria completa;Público;No;Ocupado;Ocupaciones elementales;Asalariado;No;No asiste;No;5;2;3;1;1;1;0;0;0;0;0;3;0;0;3;0;0;1;0;1;3;0;0
128;895_11_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;4;NA;No;No;No;No;Sí;Sí;Sí;1;0;0;0;Pobreza extrema;82000;41000;Q1: 87944 ó menos;1;1;Hombre;66;Casado(a);Primaria completa;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen no contributivo monto básico;No;No asiste;No;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1
127;895_12_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Prefabricado;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por teléfono fijo;Sí;No;Sí;No;Sí;Sí;Sí;5;0;1;0;No pobre;542665;108533;Q2: Más de 87944 a 144395;2;2;Hombre;39;Casado(a);Primaria completa;Público;No;Ocupado;Ocupaciones elementales;Asalariado;No;No asiste;No;5;1;4;0;3;1;0;0;0;0;0;4;0;0;4;0;0;1;0;2;2;0;0
123;896_1_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Prefabricado;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;4;NA;No;No;No;No;Sí;Sí;Sí;3;0;0;0;No pobre;357500;178750;Q3: Más de 144395 a 240898;3;3;Hombre;75;Casado(a);Primaria incompleta;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen de IVM de la CCSS;No;No asiste;No;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2
124;896_2_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Prefabricado;Lámina de metal o zinc;Mosaico, cerámica, terrazo;No;Vivienda no hacinada;3;Por dispositivos móviles (SIM);No;No;No;No;Sí;Sí;Sí;4;0;0;0;Pobreza extrema;178,833,333,333,333;298,055,555,555,556;Q1: 87944 ó menos;1;1;Hombre;68;Casado(a);Primaria incompleta;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen no contributivo monto básico;No;No asiste;No;6;3;3;0;1;2;0;1;0;0;0;4;0;0;4;0;2;0;1;3;2;1;1
123;896_3_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;4;NA;No;No;No;No;Sí;Sí;Sí;1;0;0;0;No pobre;506051;168,683,666,666,667;Q3: Más de 144395 a 240898;3;3;Hombre;83;Casado(a);Primaria incompleta;Público;No;Fuera de la fuerza de trabajo;NA;Voluntario;No;No asiste;No;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;2
128;896_4_1;Rural;Brunca;Casa Independiente;Otra tenencia (cedida, prestada);NA;Madera;Lámina de metal o zinc;Cemento (lujado o no);No;Vivienda no hacinada;2;Por dispositivos móviles (SIM);No;No;No;No;Sí;Sí;Sí;1;0;0;0;Pobreza no extrema;131000;436,666,666,666,667;Q1: 87944 ó menos;1;1;Mujer;28;Separado(a);Secundaria académica incompleta;Público;No;Fuera de la fuerza de trabajo;NA;Por el Estado;Sí;No asiste;No;3;1;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1;2;0;0
123;896_6_1;Rural;Brunca;En fila o contigua;Otra tenencia (cedida, prestada);NA;Fibrocemento (Fibrolit, Ricalit);Lámina de metal o zinc;Cemento (lujado o no);No;Vivienda no hacinada;3;Por dispositivos móviles (SIM);No;No;No;No;Sí;Sí;Sí;1;0;0;0;No pobre;128,833,333,333,333;128,833,333,333,333;Q2: Más de 87944 a 144395;3;3;Mujer;80;Viudo(a);Sin nivel de instrucción;Nunca ha asistido;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen no contributivo monto básico;No;No asiste;No;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1
132;896_7_1;Rural;Brunca;Casa Independiente;Propia pagando a plazos;350000;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;8;Por cable coaxial;Sí;No;Sí;Sí;Sí;Sí;Sí;5;2;4;0;No pobre;221,225,833,333,333;442,451,666,666,667;Q4: Más de 240898 a 459848;5;5;Hombre;45;Casado(a);Educación superior de pregrado y grado;Privado;No;Ocupado;Trabajadores de los servicios y vendedores de comercios y mercados;Trabajador independiente;No;No asiste;No;5;2;3;0;0;1;0;1;0;0;0;2;0;0;1;1;1;2;0;2;1;1;1
126;896_8_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Zócalo (con madera, zinc o fibrocemento);Lámina de metal o zinc;Mosaico, cerámica, terrazo;No;Vivienda no hacinada;5;Por dispositivos móviles (SIM);No;No;No;No;Sí;Sí;Sí;3;0;0;0;No pobre;519,333,333,333,333;173,111,111,111,111;Q3: Más de 144395 a 240898;3;3;Hombre;28;En unión libre o juntado(a);Secundaria académica completa;Público;No;Ocupado;Oficiales, operarios y artesanos de artes mecánicas y de otros oficios;No asegurado;No;No asiste;No;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
125;896_9_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Zócalo (con madera, zinc o fibrocemento);Lámina de metal o zinc;Mosaico, cerámica, terrazo;No;Vivienda no hacinada;5;Por dispositivos móviles (SIM);No;No;No;No;Sí;Sí;Sí;4;0;0;0;Pobreza extrema;1.00E+05;25000;Q1: 87944 ó menos;1;1;Hombre;59;En unión libre o juntado(a);Primaria incompleta;Público;No;Fuera de la fuerza de trabajo;NA;Voluntario;No;No asiste;No;4;1;3;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;4;0;0;0
129;896_10_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Zócalo (con madera, zinc o fibrocemento);Lámina de metal o zinc;Cemento (lujado o no);No;Vivienda no hacinada;4;Por cable coaxial;No;No;No;No;Sí;Sí;Sí;3;0;0;0;Pobreza no extrema;308000;61600;Q1: 87944 ó menos;1;1;Hombre;46;En unión libre o juntado(a);Primaria completa;Público;No;Ocupado;Oficiales, operarios y artesanos de artes mecánicas y de otros oficios;Trabajador independiente;No;No asiste;No;5;2;3;0;1;2;0;0;0;0;0;3;0;0;3;0;0;1;0;2;2;0;0
148;896_12_1;Rural;Brunca;Casa Independiente;Alquilada;40000;Fibrocemento (Fibrolit, Ricalit);Lámina de metal o zinc;Cemento (lujado o no);No;Vivienda no hacinada;4;Por dispositivos móviles (SIM);No;No;No;No;Sí;Sí;Sí;3;0;0;0;Pobreza no extrema;211250;704,166,666,666,667;Q1: 87944 ó menos;1;1;Hombre;44;Casado(a);Primaria completa;Público;No;Ocupado;Ocupaciones elementales;Voluntario;No;No asiste;No;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
122;896_11_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Prefabricado;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;2;NA;No;No;No;No;Sí;Sí;Sí;1;0;0;0;No pobre;888,333,333,333,333;888,333,333,333,333;Q2: Más de 87944 a 144395;2;2;Mujer;86;Viudo(a);Primaria incompleta;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen no contributivo monto básico;No;No asiste;No;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1
127;896_5_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Prefabricado;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;2;NA;No;No;No;No;Sí;Sí;Sí;1;0;0;0;No pobre;305,133,333,333,333;152,566,666,666,667;Q3: Más de 144395 a 240898;3;3;Hombre;89;Soltero(a);Primaria incompleta;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen de IVM de la CCSS;No;No asiste;No;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1
123;897_1_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Zócalo (con madera, zinc o fibrocemento);Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por dispositivos móviles (SIM);No;No;No;No;Sí;Sí;Sí;4;0;0;0;No pobre;702,574,566,666,667;140,514,913,333,333;Q2: Más de 87944 a 144395;3;3;Hombre;48;Casado(a);Primaria completa;Público;No;Ocupado;Ocupaciones elementales;Mediante convenio (asociaciones, sindicatos, cooperativas, etc.);No;No asiste;No;5;1;4;0;2;1;0;0;0;0;0;3;0;0;3;0;0;2;0;1;2;0;0
119;897_2_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;6;NA;No;No;No;No;Sí;Sí;Sí;3;0;0;0;No pobre;177,666,666,666,667;888,333,333,333,333;Q2: Más de 87944 a 144395;2;2;Hombre;79;Casado(a);Primaria completa;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen no contributivo monto básico;No;No asiste;No;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2
124;897_3_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Zócalo (con madera, zinc o fibrocemento);Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por teléfono fijo;No;No;No;No;Sí;Sí;Sí;3;0;0;0;Pobreza no extrema;378000;75600;Q1: 87944 ó menos;2;1;Hombre;50;Casado(a);Secundaria académica completa;Público;No;Ocupado;Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros;Mediante convenio (asociaciones, sindicatos, cooperativas, etc.);No;No asiste;No;5;2;3;0;2;1;0;0;0;0;0;3;0;0;3;0;0;1;0;2;2;0;0
124;897_4_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Fibrocemento (Fibrolit, Ricalit);Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por dispositivos móviles (SIM);No;No;No;No;Sí;Sí;Sí;5;0;0;0;No pobre;356,403,333,333,333;891,008,333,333,333;Q2: Más de 87944 a 144395;2;2;Hombre;44;Casado(a);Primaria incompleta;Público;No;Ocupado;Ocupaciones elementales;Trabajador independiente;No;No asiste;No;4;2;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;1;0;2;1;0;0
118;897_5_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por dispositivos móviles (SIM);No;No;No;No;Sí;Sí;Sí;1;0;0;0;No pobre;343880;171940;Q3: Más de 144395 a 240898;3;3;Hombre;64;Casado(a);Sin nivel de instrucción;Nunca ha asistido;No;Ocupado;Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros;Trabajador independiente;No;No asiste;No;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
126;897_8_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por dispositivos móviles (SIM);No;No;No;No;Sí;Sí;Sí;3;0;0;0;No pobre;108,477,333,333,333;271,193,333,333,333;Q4: Más de 240898 a 459848;4;4;Hombre;42;Casado(a);Primaria completa;Público;No;Ocupado;Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros;Trabajador independiente;No;No asiste;No;4;2;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;1;0;1;2;0;0
118;897_10_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Prefabricado;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;NA;No;No;No;No;No;No;No;0;0;0;0;Pobreza no extrema;80000;80000;Q1: 87944 ó menos;2;1;Mujer;55;Soltero(a);Primaria incompleta;Público;No;Fuera de la fuerza de trabajo;NA;Voluntario;No;No asiste;No;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
121;897_11_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Madera;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;6;NA;No;No;No;No;Sí;Sí;Sí;1;0;0;0;Pobreza no extrema;138,833,333,333,333;694,166,666,666,667;Q1: 87944 ó menos;1;1;Hombre;81;Casado(a);Sin nivel de instrucción;Nunca ha asistido;No;Fuera de la fuerza de trabajo;NA;Familiar de pensionado;No;No asiste;No;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1
125;897_12_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Madera;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;4;NA;No;No;No;No;Sí;Sí;Sí;3;0;0;0;Pobreza no extrema;166400;83200;Q1: 87944 ó menos;2;2;Hombre;46;Casado(a);Primaria incompleta;Público;No;Ocupado;Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros;Voluntario;No;No asiste;No;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
127;898_1_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Prefabricado;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por teléfono fijo;No;No;No;No;Sí;Sí;Sí;4;0;0;0;No pobre;504140;168,046,666,666,667;Q3: Más de 144395 a 240898;3;3;Mujer;47;Separado(a);Primaria incompleta;Público;No;Ocupado;Ocupaciones elementales;Familiar asegurado directo;No;No asiste;No;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
128;898_2_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Zócalo (con madera, zinc o fibrocemento);Lámina de metal o zinc;Cemento (lujado o no);Sí;Vivienda no hacinada;6;Por teléfono fijo;Sí;No;Sí;No;Sí;Sí;Sí;6;0;2;0;No pobre;550,946,666,666,667;110,189,333,333,333;Q2: Más de 87944 a 144395;2;2;Hombre;45;Casado(a);Primaria completa;Público;No;Ocupado;Ocupaciones elementales;Asalariado;No;No asiste;No;5;3;2;0;0;2;0;1;0;0;0;3;1;158000;3;0;0;1;0;4;0;0;0
126;898_3_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;No;Vivienda no hacinada;5;Por teléfono fijo;Sí;No;Sí;No;Sí;Sí;Sí;5;0;2;0;No pobre;2883000;720750;Q5: Más de 459848;5;5;Hombre;63;Casado(a);Primaria completa;Público;No;Ocupado;Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros;Voluntario;No;No asiste;No;4;2;2;0;0;0;0;2;0;0;0;2;2;358000;2;0;0;1;0;3;0;0;0
145;898_4_1;Rural;Brunca;Casa Independiente;Alquilada;85000;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por teléfono fijo;Sí;No;Sí;Sí;Sí;Sí;Sí;4;1;1;0;No pobre;283,525,666,666,667;945,085,555,555,556;Q5: Más de 459848;5;5;Hombre;27;Casado(a);Educación superior de pregrado y grado;Privado;No;Ocupado;Técnicos y profesionales de nivel medio;Asalariado;No;Universitaria;Sí;3;1;2;1;0;0;0;1;0;0;0;2;0;0;0;2;0;2;0;0;1;0;0
122;898_5_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Prefabricado;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por dispositivos móviles (SIM);No;No;No;Sí;Sí;Sí;Sí;5;1;0;0;No pobre;537,666,666,666,667;107,533,333,333,333;Q2: Más de 87944 a 144395;2;2;Hombre;75;Casado(a);Primaria incompleta;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen no contributivo monto básico;No;No asiste;No;5;2;3;0;2;0;0;0;0;0;0;2;2;40000;2;0;0;1;0;2;2;2;2
120;898_7_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Madera;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por cable coaxial;No;No;No;No;Sí;Sí;Sí;1;0;0;0;Pobreza no extrema;888,333,333,333,333;444,166,666,666,667;Q1: 87944 ó menos;1;1;Mujer;73;Viudo(a);Primaria incompleta;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen de IVM de la CCSS;No;No asiste;No;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1
125;898_8_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;6;NA;No;No;No;No;Sí;Sí;Sí;1;0;0;0;No pobre;192000;96000;Q2: Más de 87944 a 144395;2;2;Hombre;54;Casado(a);Primaria completa;Público;No;Ocupado;Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros;Voluntario;No;No asiste;No;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
125;898_9_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;7;Por teléfono fijo;Sí;No;Sí;No;Sí;Sí;Sí;5;0;1;0;No pobre;753,236,666,666,667;188,309,166,666,667;Q3: Más de 144395 a 240898;4;3;Mujer;60;Divorciado(a);Primaria completa;Público;No;Ocupado;Trabajadores de los servicios y vendedores de comercios y mercados;Mediante convenio (asociaciones, sindicatos, cooperativas, etc.);No;No asiste;No;4;1;3;0;0;3;0;0;0;0;0;3;0;0;3;0;0;1;0;2;1;0;0
119;898_10_1;Rural;Brunca;Casa Independiente;Propia pagando a plazos;10000;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;4;Por teléfono fijo;Sí;No;Sí;No;Sí;Sí;Sí;3;0;1;0;No pobre;295000;147500;Q3: Más de 144395 a 240898;3;3;Hombre;31;En unión libre o juntado(a);Secundaria académica incompleta;Público;No;Ocupado;Oficiales, operarios y artesanos de artes mecánicas y de otros oficios;No asegurado;No;Colegio;Sí;2;1;1;0;0;2;0;0;0;0;0;2;0;0;2;0;0;1;0;1;0;0;0
124;898_12_1;Rural;Brunca;Casa Independiente;Propia totalmente pagada;NA;Madera;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;6;Por teléfono fijo;Sí;No;Sí;No;Sí;Sí;Sí;4;0;1;0;No pobre;795,008,383,333,333;198,752,095,833,333;Q3: Más de 144395 a 240898;4;4;Mujer;45;Divorciado(a);Primaria completa;Público;No;Fuera de la fuerza de trabajo;NA;Familiar asegurado directo;No;No asiste;No;4;2;2;1;0;1;0;1;0;0;0;3;0;0;1;1;0;1;0;2;1;0;0
258;283_1_1;Urbana;Central;Casa Independiente;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;6;Por cable coaxial;Sí;No;Sí;Sí;Sí;Sí;Sí;6;2;3;0;No pobre;335,003,333,333,333;670,006,666,666,667;Q5: Más de 459848;5;5;Hombre;65;Casado(a);Educación superior de pregrado y grado;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen de IVM de la CCSS;No;No asiste;No;5;2;3;0;0;0;0;3;0;0;0;3;0;0;2;1;0;3;0;2;0;1;2
249;283_2_1;Urbana;Central;Casa Independiente;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por cable coaxial;Sí;No;Sí;No;Sí;Sí;Sí;4;0;1;0;No pobre;450000;150000;Q3: Más de 144395 a 240898;2;2;Hombre;56;Casado(a);Educación superior de pregrado y grado;Privado;No;Ocupado;Ocupaciones elementales;Voluntario;No;No asiste;No;3;1;2;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;2;0;0;0
315;283_3_1;Urbana;Central;Casa Independiente;Alquilada;45000;Block o ladrillo;Lámina de metal o zinc;Cemento (lujado o no);Sí;Vivienda no hacinada;4;Por cable coaxial;No;No;No;No;Sí;Sí;Sí;3;0;0;0;No pobre;441,653,333,333,333;220,826,666,666,667;Q3: Más de 144395 a 240898;3;3;Mujer;53;En unión libre o juntado(a);Primaria completa;Público;No;Fuera de la fuerza de trabajo;NA;Familiar asegurado directo;No;No asiste;No;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
255;283_4_1;Urbana;Central;En fila o contigua;Propia totalmente pagada;NA;Prefabricado;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por cable coaxial;No;No;No;No;Sí;Sí;Sí;1;0;0;0;No pobre;533,433,333,333,333;177,811,111,111,111;Q3: Más de 144395 a 240898;3;3;Mujer;43;Soltero(a);Secundaria académica incompleta;Público;No;Desempleado abierto;NA;Asalariado;Sí;No asiste;No;3;0;3;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;1;1
255;283_5_1;Urbana;Central;Casa Independiente;Alquilada;60000;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;2;NA;No;No;No;No;Sí;Sí;Sí;3;0;0;0;No pobre;399499;133,166,333,333,333;Q2: Más de 87944 a 144395;2;2;Hombre;35;Casado(a);Primaria completa;Público;No;Ocupado;Ocupaciones elementales;Asalariado;No;No asiste;No;3;1;2;0;1;0;0;0;0;0;1;2;0;0;2;0;0;2;0;0;1;0;0
222;283_6_1;Urbana;Central;Casa Independiente;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por teléfono fijo;Sí;Sí;Sí;No;Sí;Sí;Sí;3;0;1;1;No pobre;841,666,666,666,667;280,555,555,555,556;Q4: Más de 240898 a 459848;4;3;Hombre;61;Casado(a);Educación superior de pregrado y grado;Público;No;Ocupado;Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros;Pensionado del régimen del Magisterio, Poder Judicial, Hacienda, otro;No;No asiste;No;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;1
